NFHS_District,lower_name,GeoJSON_District,_merge
Lawngtlai ,lawngtlai,Lawngtlai,both
Leh(Ladakh) ,leh(ladakh),,left_only
Lohardaga ,lohardaga,Lohardaga,both
Lohit ,lohit,Lohit,both
Longding ,longding,,left_only
Longleng ,longleng,,left_only
Lower Dibang Valley ,lower dibang valley,Lower Dibang Valley,both
Lower Subansiri ,lower subansiri,Lower Subansiri,both
Lucknow ,lucknow,Lucknow,both
Ludhiana ,ludhiana,Ludhiana,both
Lunglei ,lunglei,Lunglei,both
Madhepura ,madhepura,Madhepura,both
Madhubani ,madhubani,Madhubani,both
Madurai ,madurai,Madurai,both
Mahabubabad ,mahabubabad,,left_only
Mahabubnagar ,mahabubnagar,,left_only
Mahamaya Nagar ,mahamaya nagar,,left_only
,maharajganj,Maharajganj,right_only
Mahasamund ,mahasamund,Mahasamund,both
,mahbubnagar,Mahbubnagar,right_only
Mahe ,mahe,Mahe,both
Mahendragarh ,mahendragarh,Mahendragarh,both
Mahesana ,mahesana,Mahesana,both
Mahisagar ,mahisagar,,left_only
Mahoba ,mahoba,Mahoba,both
Mahrajganj ,mahrajganj,,left_only
Mainpuri ,mainpuri,Mainpuri,both
Majuli ,majuli,,left_only
Malappuram ,malappuram,Malappuram,both
Maldah ,maldah,Maldah,both
Malkangiri ,malkangiri,Malkangiri,both
Mamit ,mamit,Mamit,both
Mancherial ,mancherial,,left_only
Mandi ,mandi,Mandi,both
Mandla ,mandla,Mandla,both
Mandsaur ,mandsaur,Mandsaur,both
Mandya ,mandya,Mandya,both
Mansa ,mansa,Mansa,both
,marigaon,Marigaon,right_only
Mathura ,mathura,Mathura,both
Mau ,mau,Mau,both
Mayurbhanj ,mayurbhanj,Mayurbhanj,both
Medak ,medak,Medak,both
Medchal-Malkajgiri ,medchal-malkajgiri,,left_only
Meerut ,meerut,Meerut,both
Mewat ,mewat,,left_only
Mirzapur ,mirzapur,Mirzapur,both
Moga ,moga,Moga,both
Mokokchung ,mokokchung,Mokokchung,both
Mon ,mon,Mon,both
Moradabad ,moradabad,Moradabad,both
Morbi ,morbi,,left_only
Morena ,morena,Morena,both
Morigaon ,morigaon,,left_only
Muktsar ,muktsar,Muktsar,both
Mumbai ,mumbai,,left_only
Mumbai Suburban ,mumbai suburban,,left_only
Mungeli ,mungeli,,left_only
Munger ,munger,Munger,both
Murshidabad ,murshidabad,Murshidabad,both
Muzaffarnagar ,muzaffarnagar,Muzaffarnagar,both
Muzaffarpur ,muzaffarpur,Muzaffarpur,both
Mysore ,mysore,Mysore,both
Nabarangapur ,nabarangapur,,left_only
,nabarangpur,Nabarangpur,right_only
Nadia ,nadia,Nadia,both
Nagaon ,nagaon,Nagaon,both
Nagapattinam ,nagapattinam,Nagapattinam,both
Nagarkurnool ,nagarkurnool,,left_only
Nagaur ,nagaur,Nagaur,both
Nagpur ,nagpur,Nagpur,both
,naini tal,Naini Tal,right_only
Nainital ,nainital,,left_only
Nalanda ,nalanda,Nalanda,both
Nalbari ,nalbari,Nalbari,both
Nalgonda ,nalgonda,Nalgonda,both
Namakkal ,namakkal,Namakkal,both
Namsai ,namsai,,left_only
Nanded ,nanded,Nanded,both
Nandurbar ,nandurbar,Nandurbar,both
Narayanpur ,narayanpur,,left_only
Narmada ,narmada,Narmada,both
Narsimhapur ,narsimhapur,,left_only
,narsinghpur,Narsinghpur,right_only
Nashik ,nashik,Nashik,both
Navsari ,navsari,Navsari,both
Nawada ,nawada,Nawada,both
,nawan shehar,Nawan Shehar,right_only
Nayagarh ,nayagarh,Nayagarh,both
Neemuch ,neemuch,Neemuch,both
,nellore,Nellore,right_only
New Delhi ,new delhi,,left_only
